epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1337.11,1.38296,1.36066,1.63834,0.64504,0.59786,0.65984,0.40033,1.41791,1.26468,1.64853,0.0014588,0.0014588,0.0014588
43,1366.77,1.38478,1.34792,1.62616,0.69478,0.68365,0.73686,0.4566,1.37576,1.10796,1.59029,0.0014456,0.0014456,0.0014456
44,1395.27,1.3953,1.35635,1.63295,0.64183,0.68633,0.70509,0.41842,1.39645,1.29974,1.62277,0.0014324,0.0014324,0.0014324
45,1424.11,1.37146,1.36555,1.5983,0.70539,0.64879,0.72929,0.44454,1.4119,1.13522,1.61825,0.0014192,0.0014192,0.0014192
46,1452.98,1.3545,1.30614,1.59647,0.65259,0.71314,0.72128,0.44177,1.36512,1.12507,1.55444,0.001406,0.001406,0.001406
47,1481.5,1.35257,1.32234,1.61506,0.63399,0.70107,0.70505,0.40998,1.48016,1.39573,1.6368,0.0013928,0.0013928,0.0013928
48,1505.73,1.34738,1.34625,1.57762,0.69799,0.70643,0.75132,0.47266,1.3279,1.03936,1.54122,0.0013796,0.0013796,0.0013796
49,1535.38,1.37604,1.30372,1.61966,0.66097,0.71046,0.71937,0.44177,1.3334,1.18424,1.55476,0.0013664,0.0013664,0.0013664
50,1566.37,1.33223,1.31207,1.59439,0.69511,0.61528,0.69593,0.40402,1.4872,1.20718,1.64749,0.0013532,0.0013532,0.0013532
51,1594.95,1.35171,1.26784,1.58857,0.67379,0.68365,0.74276,0.46681,1.33137,1.06634,1.5455,0.00134,0.00134,0.00134
52,1622.93,1.36893,1.28692,1.59813,0.67323,0.70148,0.74053,0.41922,1.51788,1.14155,1.67261,0.0013268,0.0013268,0.0013268
53,1651.83,1.35217,1.28131,1.5947,0.68356,0.65013,0.73267,0.42008,1.53457,1.11332,1.65138,0.0013136,0.0013136,0.0013136
54,1680.51,1.33979,1.27699,1.59098,0.73876,0.65961,0.76763,0.4865,1.30522,1.02726,1.53757,0.0013004,0.0013004,0.0013004
55,1710.07,1.35961,1.25472,1.59318,0.70918,0.68633,0.73709,0.4537,1.33663,1.09677,1.54541,0.0012872,0.0012872,0.0012872
56,1737.66,1.34739,1.26466,1.59165,0.65294,0.68231,0.71014,0.43673,1.33971,1.06894,1.57891,0.001274,0.001274,0.001274
57,1765.39,1.37486,1.3154,1.59757,0.686,0.70107,0.75898,0.48361,1.30953,1.03662,1.54348,0.0012608,0.0012608,0.0012608
58,1794.29,1.33946,1.26256,1.58629,0.66895,0.69437,0.7295,0.45336,1.35711,1.09424,1.57073,0.0012476,0.0012476,0.0012476
59,1822.18,1.32931,1.23798,1.57044,0.71116,0.66999,0.74078,0.47296,1.27334,1.08471,1.57945,0.0012344,0.0012344,0.0012344
60,1849.73,1.28914,1.20015,1.55099,0.67119,0.67585,0.73493,0.45772,1.35226,1.10599,1.57743,0.0012212,0.0012212,0.0012212
61,1874.4,1.31512,1.22519,1.56814,0.72809,0.66762,0.76437,0.49781,1.25147,0.99902,1.5351,0.001208,0.001208,0.001208
62,1898.3,1.3011,1.22115,1.55801,0.71363,0.70241,0.77308,0.49543,1.29197,1.02879,1.526,0.0011948,0.0011948,0.0011948
63,1921.45,1.29942,1.20863,1.5642,0.69662,0.65871,0.74481,0.45832,1.37822,1.06945,1.58213,0.0011816,0.0011816,0.0011816
64,1944.97,1.31687,1.23732,1.55149,0.65538,0.74799,0.76801,0.50598,1.2147,0.996,1.48801,0.0011684,0.0011684,0.0011684
65,1973.8,1.28916,1.18435,1.54367,0.66328,0.66013,0.69912,0.44192,1.32333,1.12507,1.59416,0.0011552,0.0011552,0.0011552
66,2002.32,1.29569,1.21362,1.56326,0.70545,0.69839,0.75923,0.4936,1.24589,1.02188,1.53447,0.001142,0.001142,0.001142
67,2027.66,1.30032,1.22235,1.53912,0.68439,0.71216,0.75743,0.48467,1.28216,1.02666,1.51907,0.0011288,0.0011288,0.0011288
68,2057.38,1.29046,1.20125,1.55075,0.72425,0.68655,0.76746,0.5025,1.25873,0.9991,1.51321,0.0011156,0.0011156,0.0011156
69,2084.46,1.29776,1.19048,1.55441,0.69541,0.68633,0.76027,0.48741,1.29237,1.00275,1.52187,0.0011024,0.0011024,0.0011024
70,2116.97,1.27698,1.18849,1.55448,0.69999,0.69973,0.76072,0.49555,1.25486,0.98993,1.50201,0.0010892,0.0010892,0.0010892
71,2146.55,1.28146,1.1848,1.55334,0.63147,0.76542,0.74978,0.48923,1.2093,1.01636,1.47905,0.001076,0.001076,0.001076
72,2175.73,1.26749,1.1807,1.53523,0.6409,0.76005,0.74375,0.48928,1.22072,1.01171,1.4827,0.0010628,0.0010628,0.0010628
73,2204.37,1.28304,1.16528,1.52423,0.75858,0.68231,0.77343,0.51086,1.25499,0.98835,1.50926,0.0010496,0.0010496,0.0010496
74,2234.27,1.26066,1.14693,1.52674,0.71564,0.72654,0.76587,0.48611,1.28646,1.03464,1.50416,0.0010364,0.0010364,0.0010364
75,2262.88,1.25881,1.17905,1.52741,0.7544,0.66756,0.76296,0.47653,1.29804,0.99938,1.53958,0.0010232,0.0010232,0.0010232
76,2291.51,1.29284,1.1885,1.54503,0.71447,0.68901,0.75213,0.48952,1.24379,1.00006,1.49537,0.00101,0.00101,0.00101
77,2320.58,1.29046,1.17977,1.55784,0.71175,0.69705,0.76485,0.49895,1.27359,0.97949,1.50264,0.0009968,0.0009968,0.0009968
78,2349.15,1.24649,1.15492,1.53539,0.72549,0.67024,0.75739,0.47481,1.33074,0.99068,1.5231,0.0009836,0.0009836,0.0009836
79,2377.7,1.28102,1.15546,1.52357,0.70444,0.7118,0.76818,0.49497,1.28655,0.98211,1.54012,0.0009704,0.0009704,0.0009704
80,2406.33,1.25258,1.13565,1.51818,0.7092,0.74535,0.79377,0.51948,1.23001,0.93451,1.4804,0.0009572,0.0009572,0.0009572
81,2434.2,1.23025,1.10458,1.50379,0.73771,0.67962,0.76404,0.49924,1.23136,0.97781,1.50953,0.000944,0.000944,0.000944
